CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
109573300,12/27/2015,22:15:00,12/28/2015,07:30:00,12/28/2015,107,BURGLARY,213,"BURGLARY,COMMERCIAL,NIGHT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,RESTAURANT/DINER,,,989999,221359,40.774262003,-73.979244832,"(40.774262003, -73.979244832)"
926123821,12/27/2015,22:10:00,,,12/28/2015,106,FELONY ASSAULT,106,"ASSAULT 2,1,PEACE OFFICER",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,INSIDE,STREET,,,1046405,187113,40.680048726,-73.775909194,"(40.680048726, -73.775909194)"
472241802,12/27/2015,22:10:00,12/27/2015,22:30:00,12/28/2015,109,GRAND LARCENY,406,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,FRONT OF,STREET,,,990156,215711,40.7587596,-73.97868295,"(40.7587596, -73.97868295)"
527508298,12/27/2015,22:00:00,12/28/2015,06:30:00,12/28/2015,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,47,FRONT OF,STREET,,,1020808,262493,40.887089188,-73.867785667,"(40.887089188, -73.867785667)"
987969586,12/27/2015,22:00:00,12/28/2015,07:00:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,47,FRONT OF,STREET,,,1025718,266114,40.897005967,-73.850005753,"(40.897005967, -73.850005753)"
779708005,12/27/2015,22:00:00,12/27/2015,22:15:00,12/28/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,QUEENS,107,,STREET,,,1035511,205435,40.730407986,-73.815046576,"(40.730407986, -73.815046576)"
791055107,12/27/2015,22:00:00,12/28/2015,01:55:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,STATEN ISLAND,121,REAR OF,RESIDENCE-HOUSE,,,943467,168110,40.628013961,-74.146924829,"(40.628013961, -74.146924829)"
707412381,12/27/2015,22:00:00,12/27/2015,22:30:00,12/28/2015,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,102,,STREET,,,1031944,192191,40.694076375,-73.82801046,"(40.694076375, -73.82801046)"
138935124,12/27/2015,22:00:00,12/27/2015,22:15:00,12/28/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,STATEN ISLAND,120,INSIDE,RESIDENCE - APT. HOUSE,,,961580,163524,40.615491223,-74.08165623,"(40.615491223, -74.08165623)"
142332359,12/27/2015,22:00:00,12/28/2015,02:30:00,12/28/2015,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,47,INSIDE,RESIDENCE-HOUSE,,,1029350,255614,40.86816897,-73.836939015,"(40.86816897, -73.836939015)"
426648610,12/27/2015,21:40:00,,,12/28/2015,126,MISCELLANEOUS PENAL LAW,117,RECKLESS ENDANGERMENT 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,42,,STREET,,,1015494,242837,40.833159829,-73.887095897,"(40.833159829, -73.887095897)"
387572016,12/27/2015,21:30:00,12/27/2015,23:50:00,12/28/2015,109,GRAND LARCENY,406,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,DRUG STORE,,,988058,214775,40.75619167,-73.986256492,"(40.75619167, -73.986256492)"
731684492,12/27/2015,21:30:00,12/28/2015,06:50:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,67,FRONT OF,PARKING LOT/GARAGE (PRIVATE),,,1000817,175906,40.649490707,-73.940298568,"(40.649490707, -73.940298568)"
978181555,12/27/2015,21:30:00,12/28/2015,05:00:00,12/28/2015,109,GRAND LARCENY,457,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,52,,STREET,,,1017478,256069,40.869470477,-73.879860804,"(40.869470477, -73.879860804)"
843873378,12/27/2015,21:30:00,12/28/2015,08:20:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,70,FRONT OF,STREET,,,996198,175297,40.647826569,-73.956945239,"(40.647826569, -73.956945239)"
